student_id,strata,semester,ip_semester,ipk_total,sks_semester,total_sks,sks_lulus,sks_tidak_lulus,label_kelulusan
14,S1,3,3.095,2.992,19,59,54,5,lulus_terlambat
14,S1,4,2.483,2.858,21,80,72,8,lulus_terlambat
14,S1,5,2.363,2.767,18,98,87,11,lulus_terlambat
14,S1,6,2.807,2.773,15,113,101,12,lulus_terlambat
14,S1,7,2.593,2.748,18,131,118,13,lulus_terlambat
14,S1,8,3.118,2.797,20,151,138,13,lulus_terlambat
14,S1,9,2.101,2.712,21,172,157,15,lulus_terlambat
15,S3,1,3.296,3.296,11,11,11,0,lulus_tepat_waktu
15,S3,2,3.399,3.345,10,21,21,0,lulus_tepat_waktu
15,S3,3,3.783,3.442,6,27,27,0,lulus_tepat_waktu
15,S3,4,3.622,3.487,9,36,36,0,lulus_tepat_waktu
15,S3,5,3.423,3.477,7,43,43,0,lulus_tepat_waktu
16,S1,1,2.831,2.831,20,20,19,1,lulus_terlambat
16,S1,2,2.657,2.744,20,40,38,2,lulus_terlambat
16,S1,3,2.328,2.601,21,61,56,5,lulus_terlambat
16,S1,4,2.702,2.622,16,77,70,7,lulus_terlambat
16,S1,5,2.269,2.555,18,95,86,9,lulus_terlambat
16,S1,6,2.364,2.529,15,110,98,12,lulus_terlambat
16,S1,7,2.648,2.545,17,127,114,13,lulus_terlambat
16,S1,8,2.986,2.6,18,145,130,15,lulus_terlambat
16,S1,9,2.84,2.627,19,164,148,16,lulus_terlambat
17,S2,1,3.632,3.632,9,9,9,0,lulus_tepat_waktu
17,S2,2,3.119,3.329,13,22,22,0,lulus_tepat_waktu
17,S2,3,3.362,3.342,14,36,36,0,lulus_tepat_waktu
18,S3,1,2.966,2.966,8,8,7,1,dropout
18,S3,2,2.991,2.977,6,14,13,1,dropout
18,S3,3,3.109,3.017,6,20,19,1,dropout
18,S3,4,3.196,3.08,11,31,29,2,dropout
18,S3,5,2.87,3.029,10,41,38,3,dropout
18,S3,6,2.561,2.937,10,51,47,4,dropout
18,S3,7,2.746,2.909,9,60,55,5,dropout
18,S3,8,3.277,2.942,6,66,61,5,dropout
18,S3,9,2.719,2.913,10,76,70,6,dropout
18,S3,10,2.978,2.92,9,85,78,7,dropout
19,S2,1,4.0,4.0,13,13,13,0,lulus_tepat_waktu
19,S2,2,3.288,3.658,12,25,25,0,lulus_tepat_waktu
19,S2,3,3.561,3.632,9,34,34,0,lulus_tepat_waktu
19,S2,4,3.418,3.58,11,45,45,0,lulus_tepat_waktu
20,S3,1,3.699,3.699,7,7,7,0,lulus_tepat_waktu
20,S3,2,3.157,3.394,9,16,16,0,lulus_tepat_waktu
20,S3,3,3.934,3.558,7,23,23,0,lulus_tepat_waktu
20,S3,4,4.0,3.692,10,33,33,0,lulus_tepat_waktu
20,S3,5,3.648,3.684,8,41,41,0,lulus_tepat_waktu
20,S3,6,3.592,3.666,10,51,51,0,lulus_tepat_waktu
21,S1,1,2.535,2.535,21,21,19,2,lulus_tepat_waktu
21,S1,2,2.334,2.442,18,39,34,5,lulus_tepat_waktu
21,S1,3,2.501,2.458,15,54,48,6,lulus_tepat_waktu
21,S1,4,2.809,2.553,20,74,66,8,lulus_tepat_waktu
21,S1,5,2.942,2.636,20,94,85,9,lulus_tepat_waktu
21,S1,6,3.402,2.77,20,114,104,10,lulus_tepat_waktu
21,S1,7,3.053,2.818,23,137,126,11,lulus_tepat_waktu
21,S1,8,2.606,2.789,21,158,145,13,lulus_tepat_waktu
22,S2,1,3.926,3.926,14,14,14,0,lulus_tepat_waktu
22,S2,2,3.736,3.851,9,23,23,0,lulus_tepat_waktu
22,S2,3,3.881,3.86,10,33,33,0,lulus_tepat_waktu
22,S2,4,3.003,3.605,14,47,46,1,lulus_tepat_waktu
23,S1,1,0.991,0.991,18,18,12,6,dropout
23,S1,2,2.01,1.454,15,33,25,8,dropout
23,S1,3,2.019,1.654,18,51,40,11,dropout
23,S1,4,1.91,1.72,18,69,54,15,dropout
23,S1,5,2.117,1.795,16,85,68,17,dropout
23,S1,6,1.673,1.776,16,101,79,22,dropout
23,S1,7,2.369,1.852,15,116,92,24,dropout
23,S1,8,2.281,1.901,15,131,105,26,dropout
23,S1,9,2.301,1.95,18,149,120,29,dropout
23,S1,10,1.919,1.947,16,165,132,33,dropout
23,S1,11,2.349,1.98,15,180,145,35,dropout
23,S1,12,1.745,1.961,16,196,158,38,dropout
23,S1,13,1.41,1.922,15,211,169,42,dropout
23,S1,14,2.224,1.942,15,226,182,44,dropout
24,S1,1,2.785,2.785,20,20,18,2,lulus_tepat_waktu
24,S1,2,2.899,2.843,21,41,38,3,lulus_tepat_waktu
24,S1,3,3.05,2.913,21,62,59,3,lulus_tepat_waktu
24,S1,4,3.005,2.939,24,86,82,4,lulus_tepat_waktu
24,S1,5,3.449,3.05,24,110,105,5,lulus_tepat_waktu
24,S1,6,2.612,2.977,22,132,125,7,lulus_tepat_waktu
24,S1,7,2.465,2.907,21,153,143,10,lulus_tepat_waktu
24,S1,8,2.572,2.872,18,171,160,11,lulus_tepat_waktu
25,S3,1,3.822,3.822,9,9,9,0,dropout
25,S3,2,3.656,3.735,10,19,19,0,dropout
26,S1,1,2.516,2.516,20,20,19,1,lulus_terlambat
26,S1,2,2.224,2.366,21,41,36,5,lulus_terlambat
26,S1,3,1.768,2.184,18,59,48,11,lulus_terlambat
26,S1,4,2.329,2.215,16,75,61,14,lulus_terlambat
26,S1,5,1.762,2.127,18,93,74,19,lulus_terlambat
26,S1,6,2.598,2.204,18,111,90,21,lulus_terlambat
26,S1,7,2.19,2.201,20,131,107,24,lulus_terlambat
26,S1,8,1.988,2.176,18,149,121,28,lulus_terlambat
26,S1,9,1.731,2.13,17,166,133,33,lulus_terlambat
26,S1,10,2.359,2.152,18,184,148,36,lulus_terlambat
27,S3,1,3.412,3.412,8,8,8,0,lulus_tepat_waktu
27,S3,2,3.734,3.573,8,16,16,0,lulus_tepat_waktu
27,S3,3,3.29,3.464,10,26,26,0,lulus_tepat_waktu
27,S3,4,3.358,3.437,9,35,35,0,lulus_tepat_waktu
27,S3,5,3.672,3.489,10,45,45,0,lulus_tepat_waktu
28,S2,1,2.93,2.93,12,12,11,1,lulus_tepat_waktu
28,S2,2,3.499,3.174,9,21,20,1,lulus_tepat_waktu
28,S2,3,3.573,3.311,11,32,31,1,lulus_tepat_waktu
28,S2,4,2.969,3.207,14,46,44,2,lulus_tepat_waktu
29,S1,1,2.225,2.225,21,21,17,4,lulus_terlambat
29,S1,2,2.277,2.246,15,36,29,7,lulus_terlambat
29,S1,3,1.966,2.156,17,53,42,11,lulus_terlambat
29,S1,4,2.252,2.179,16,69,55,14,lulus_terlambat
29,S1,5,1.548,2.048,18,87,68,19,lulus_terlambat
29,S1,6,1.95,2.032,17,104,80,24,lulus_terlambat
29,S1,7,2.568,2.103,16,120,95,25,lulus_terlambat
29,S1,8,2.243,2.122,18,138,111,27,lulus_terlambat
29,S1,9,2.12,2.122,16,154,125,29,lulus_terlambat
29,S1,10,1.97,2.107,16,170,135,35,lulus_terlambat
29,S1,11,1.796,2.078,18,188,149,39,lulus_terlambat
30,S2,1,3.443,3.443,13,13,13,0,lulus_tepat_waktu
30,S2,2,3.682,3.547,10,23,23,0,lulus_tepat_waktu
30,S2,3,3.205,3.43,12,35,35,0,lulus_tepat_waktu
30,S2,4,4.0,3.556,10,45,45,0,lulus_tepat_waktu
31,S2,1,3.976,3.976,9,9,9,0,lulus_tepat_waktu
31,S2,2,3.45,3.699,10,19,19,0,lulus_tepat_waktu
31,S2,3,3.456,3.6,13,32,32,0,lulus_tepat_waktu
31,S2,4,3.462,3.567,10,42,42,0,lulus_tepat_waktu
32,S1,1,1.608,1.608,18,18,14,4,dropout
32,S1,2,1.567,1.59,15,33,25,8,dropout
32,S1,3,1.796,1.654,15,48,36,12,dropout
32,S1,4,1.547,1.629,15,63,47,16,dropout
33,S1,1,2.775,2.775,18,18,17,1,lulus_terlambat
33,S1,2,2.27,2.516,19,37,34,3,lulus_terlambat
33,S1,3,2.518,2.516,15,52,48,4,lulus_terlambat
33,S1,4,2.787,2.586,18,70,64,6,lulus_terlambat
33,S1,5,2.274,2.519,19,89,81,8,lulus_terlambat
33,S1,6,1.897,2.429,15,104,92,12,lulus_terlambat
33,S1,7,2.304,2.413,16,120,106,14,lulus_terlambat
33,S1,8,2.811,2.462,17,137,122,15,lulus_terlambat
33,S1,9,2.245,2.436,19,156,138,18,lulus_terlambat
33,S1,10,2.745,2.463,15,171,152,19,lulus_terlambat
34,S3,1,3.114,3.114,6,6,6,0,dropout
34,S3,2,3.294,3.204,6,12,12,0,dropout
35,S2,1,3.219,3.219,12,12,12,0,lulus_tepat_waktu
35,S2,2,3.182,3.202,10,22,22,0,lulus_tepat_waktu
35,S2,3,4.0,3.513,14,36,36,0,lulus_tepat_waktu
36,S2,1,3.791,3.791,10,10,10,0,lulus_tepat_waktu
36,S2,2,3.791,3.791,10,20,20,0,lulus_tepat_waktu
36,S2,3,3.625,3.726,13,33,33,0,lulus_tepat_waktu
36,S2,4,3.216,3.598,11,44,44,0,lulus_tepat_waktu
37,S2,1,3.661,3.661,10,10,10,0,lulus_tepat_waktu
37,S2,2,3.719,3.688,9,19,19,0,lulus_tepat_waktu
37,S2,3,3.585,3.655,9,28,28,0,lulus_tepat_waktu
37,S2,4,4.0,3.77,14,42,42,0,lulus_tepat_waktu
38,S1,1,2.797,2.797,18,18,17,1,lulus_tepat_waktu
38,S1,2,2.467,2.623,20,38,34,4,lulus_tepat_waktu
38,S1,3,2.306,2.529,16,54,48,6,lulus_tepat_waktu
38,S1,4,3.141,2.676,17,71,65,6,lulus_tepat_waktu
38,S1,5,2.854,2.721,24,95,87,8,lulus_tepat_waktu
38,S1,6,2.517,2.684,21,116,107,9,lulus_tepat_waktu
38,S1,7,3.228,2.767,21,137,127,10,lulus_tepat_waktu
38,S1,8,2.802,2.772,23,160,148,12,lulus_tepat_waktu
39,S1,1,2.422,2.422,19,19,17,2,lulus_terlambat
39,S1,2,2.667,2.538,17,36,33,3,lulus_terlambat
39,S1,3,2.655,2.577,18,54,49,5,lulus_terlambat
39,S1,4,2.429,2.537,20,74,67,7,lulus_terlambat
39,S1,5,2.669,2.563,18,92,84,8,lulus_terlambat
39,S1,6,1.938,2.447,21,113,98,15,lulus_terlambat
39,S1,7,2.583,2.464,17,130,114,16,lulus_terlambat
39,S1,8,2.937,2.53,21,151,133,18,lulus_terlambat
39,S1,9,3.042,2.59,20,171,153,18,lulus_terlambat
40,S3,1,4.0,4.0,10,10,10,0,lulus_tepat_waktu
40,S3,2,3.611,3.84,7,17,17,0,lulus_tepat_waktu
40,S3,3,3.639,3.761,11,28,28,0,lulus_tepat_waktu
40,S3,4,3.388,3.67,9,37,37,0,lulus_tepat_waktu
40,S3,5,3.453,3.628,9,46,46,0,lulus_tepat_waktu
41,S1,1,3.036,3.036,18,18,18,0,lulus_terlambat
41,S1,2,2.404,2.688,22,40,36,4,lulus_terlambat
41,S1,3,2.628,2.67,17,57,52,5,lulus_terlambat
41,S1,4,2.434,2.607,21,78,70,8,lulus_terlambat
41,S1,5,2.822,2.641,15,93,84,9,lulus_terlambat
41,S1,6,2.534,2.623,19,112,101,11,lulus_terlambat
41,S1,7,2.269,2.574,18,130,117,13,lulus_terlambat
41,S1,8,2.833,2.604,17,147,133,14,lulus_terlambat
41,S1,9,2.828,2.63,19,166,150,16,lulus_terlambat
42,S3,1,3.398,3.398,10,10,10,0,lulus_tepat_waktu
42,S3,2,2.8,3.132,8,18,17,1,lulus_tepat_waktu
42,S3,3,3.189,3.147,6,24,23,1,lulus_tepat_waktu
42,S3,4,3.109,3.139,6,30,29,1,lulus_tepat_waktu
42,S3,5,2.851,3.062,11,41,39,2,lulus_tepat_waktu
42,S3,6,3.788,3.154,6,47,45,2,lulus_tepat_waktu
43,S2,1,2.727,2.727,13,13,12,1,dropout
43,S2,2,2.766,2.743,9,22,20,2,dropout
43,S2,3,3.3,2.929,11,33,31,2,dropout
43,S2,4,3.112,2.98,13,46,44,2,dropout
43,S2,5,2.388,2.866,11,57,54,3,dropout
43,S2,6,2.988,2.883,9,66,62,4,dropout
43,S2,7,2.903,2.886,14,80,75,5,dropout
43,S2,8,3.077,2.909,11,91,86,5,dropout
44,S1,1,3.833,3.833,20,20,20,0,lulus_tepat_waktu
44,S1,2,2.993,3.393,22,42,41,1,lulus_tepat_waktu
44,S1,3,3.62,3.466,20,62,61,1,lulus_tepat_waktu
44,S1,4,3.604,3.501,21,83,81,2,lulus_tepat_waktu
44,S1,5,3.698,3.545,24,107,105,2,lulus_tepat_waktu
44,S1,6,3.439,3.527,23,130,127,3,lulus_tepat_waktu
44,S1,7,3.453,3.516,23,153,149,4,lulus_tepat_waktu
45,S1,1,2.393,2.393,20,20,16,4,lulus_terlambat
45,S1,2,2.655,2.505,15,35,30,5,lulus_terlambat
45,S1,3,2.467,2.492,20,55,46,9,lulus_terlambat
45,S1,4,1.681,2.292,18,73,59,14,lulus_terlambat
45,S1,5,1.573,2.15,18,91,73,18,lulus_terlambat
45,S1,6,1.759,2.094,15,106,84,22,lulus_terlambat
45,S1,7,1.897,2.066,18,124,97,27,lulus_terlambat
45,S1,8,2.049,2.064,15,139,109,30,lulus_terlambat
45,S1,9,1.67,2.021,17,156,121,35,lulus_terlambat
45,S1,10,1.858,2.006,16,172,132,40,lulus_terlambat
45,S1,11,2.121,2.015,15,187,145,42,lulus_terlambat
46,S1,1,2.81,2.81,20,20,18,2,lulus_tepat_waktu
46,S1,2,3.412,3.111,20,40,37,3,lulus_tepat_waktu
46,S1,3,3.086,3.102,23,63,60,3,lulus_tepat_waktu
46,S1,4,3.769,3.275,22,85,81,4,lulus_tepat_waktu
46,S1,5,3.198,3.258,24,109,104,5,lulus_tepat_waktu
46,S1,6,3.267,3.259,21,130,124,6,lulus_tepat_waktu
46,S1,7,3.478,3.292,23,153,146,7,lulus_tepat_waktu
47,S1,1,2.966,2.966,22,22,20,2,lulus_tepat_waktu
47,S1,2,2.992,2.977,18,40,37,3,lulus_tepat_waktu
47,S1,3,3.197,3.053,21,61,57,4,lulus_tepat_waktu
47,S1,4,2.268,2.845,22,83,76,7,lulus_tepat_waktu
47,S1,5,2.78,2.834,18,101,93,8,lulus_tepat_waktu
47,S1,6,2.664,2.805,20,121,112,9,lulus_tepat_waktu
47,S1,7,2.86,2.813,19,140,130,10,lulus_tepat_waktu
47,S1,8,2.95,2.83,20,160,148,12,lulus_tepat_waktu
48,S3,1,3.956,3.956,6,6,6,0,lulus_tepat_waktu
48,S3,2,3.746,3.843,7,13,13,0,lulus_tepat_waktu
48,S3,3,3.433,3.655,11,24,23,1,lulus_tepat_waktu
48,S3,4,3.314,3.562,9,33,32,1,lulus_tepat_waktu
48,S3,5,3.371,3.525,8,41,40,1,lulus_tepat_waktu
48,S3,6,3.763,3.567,9,50,49,1,lulus_tepat_waktu
49,S2,1,4.0,4.0,12,12,12,0,lulus_tepat_waktu
49,S2,2,3.723,3.868,11,23,23,0,lulus_tepat_waktu
49,S2,3,3.554,3.766,11,34,34,0,lulus_tepat_waktu
49,S2,4,3.463,3.687,12,46,45,1,lulus_tepat_waktu
50,S1,1,2.792,2.792,18,18,16,2,lulus_tepat_waktu
50,S1,2,2.481,2.625,21,39,34,5,lulus_tepat_waktu
50,S1,3,2.542,2.601,16,55,49,6,lulus_tepat_waktu
50,S1,4,3.211,2.769,21,76,69,7,lulus_tepat_waktu
50,S1,5,3.246,2.884,24,100,93,7,lulus_tepat_waktu
50,S1,6,2.77,2.862,24,124,115,9,lulus_tepat_waktu
50,S1,7,2.849,2.86,18,142,132,10,lulus_tepat_waktu
50,S1,8,2.396,2.805,19,161,148,13,lulus_tepat_waktu
51,S1,1,2.828,2.828,19,19,17,2,lulus_tepat_waktu
51,S1,2,3.142,2.989,20,39,37,2,lulus_tepat_waktu
51,S1,3,3.066,3.017,23,62,60,2,lulus_tepat_waktu
51,S1,4,3.113,3.043,23,85,83,2,lulus_tepat_waktu
51,S1,5,2.93,3.021,21,106,103,3,lulus_tepat_waktu
51,S1,6,2.984,3.015,18,124,119,5,lulus_tepat_waktu
51,S1,7,3.165,3.037,21,145,140,5,lulus_tepat_waktu
51,S1,8,3.22,3.063,24,169,163,6,lulus_tepat_waktu
52,S1,1,2.883,2.883,22,22,20,2,lulus_terlambat
52,S1,2,2.694,2.798,18,40,37,3,lulus_terlambat
52,S1,3,2.766,2.788,18,58,53,5,lulus_terlambat
52,S1,4,2.936,2.823,18,76,70,6,lulus_terlambat
52,S1,5,2.962,2.852,20,96,89,7,lulus_terlambat
52,S1,6,2.362,2.764,21,117,106,11,lulus_terlambat
52,S1,7,2.785,2.767,17,134,122,12,lulus_terlambat
52,S1,8,2.942,2.789,20,154,140,14,lulus_terlambat
52,S1,9,3.002,2.814,20,174,159,15,lulus_terlambat
53,S2,1,2.475,2.475,10,10,8,2,dropout
53,S2,2,2.78,2.653,14,24,21,3,dropout
53,S2,3,2.944,2.732,9,33,29,4,dropout
53,S2,4,2.927,2.774,9,42,37,5,dropout
53,S2,5,2.47,2.711,11,53,46,7,dropout
53,S2,6,2.638,2.696,14,67,59,8,dropout
53,S2,7,1.903,2.584,11,78,67,11,dropout
53,S2,8,2.529,2.576,12,90,78,12,dropout
54,S2,1,4.0,4.0,10,10,10,0,lulus_tepat_waktu
54,S2,2,3.255,3.594,12,22,22,0,lulus_tepat_waktu
54,S2,3,3.565,3.585,9,31,31,0,lulus_tepat_waktu
54,S2,4,3.12,3.472,10,41,41,0,lulus_tepat_waktu
55,S1,1,2.299,2.299,21,21,17,4,lulus_terlambat
55,S1,2,2.039,2.179,18,39,33,6,lulus_terlambat
55,S1,3,1.947,2.115,15,54,44,10,lulus_terlambat
55,S1,4,2.0,2.086,18,72,57,15,lulus_terlambat
55,S1,5,2.344,2.13,15,87,69,18,lulus_terlambat
55,S1,6,2.622,2.207,16,103,84,19,lulus_terlambat
55,S1,7,1.674,2.128,18,121,97,24,lulus_terlambat
55,S1,8,1.725,2.083,15,136,109,27,lulus_terlambat
55,S1,9,1.896,2.065,15,151,121,30,lulus_terlambat
55,S1,10,1.847,2.045,15,166,132,34,lulus_terlambat
55,S1,11,1.829,2.027,15,181,144,37,lulus_terlambat
56,S1,1,2.237,2.237,22,22,20,2,lulus_terlambat
56,S1,2,2.037,2.147,18,40,36,4,lulus_terlambat
56,S1,3,2.092,2.131,16,56,49,7,lulus_terlambat
56,S1,4,2.437,2.202,17,73,63,10,lulus_terlambat
56,S1,5,2.685,2.294,17,90,79,11,lulus_terlambat
56,S1,6,2.608,2.351,20,110,98,12,lulus_terlambat
56,S1,7,2.618,2.39,19,129,115,14,lulus_terlambat
56,S1,8,2.286,2.376,21,150,132,18,lulus_terlambat
56,S1,9,2.477,2.385,16,166,146,20,lulus_terlambat
57,S1,1,3.404,3.404,20,20,19,1,lulus_tepat_waktu
57,S1,2,3.443,3.424,21,41,40,1,lulus_tepat_waktu
57,S1,3,3.252,3.362,23,64,62,2,lulus_tepat_waktu
57,S1,4,2.396,3.115,22,86,81,5,lulus_tepat_waktu
57,S1,5,2.47,3.003,18,104,96,8,lulus_tepat_waktu
57,S1,6,2.699,2.958,18,122,113,9,lulus_tepat_waktu
57,S1,7,2.721,2.925,20,142,132,10,lulus_tepat_waktu
57,S1,8,2.927,2.925,21,163,152,11,lulus_tepat_waktu
58,S1,1,3.135,3.135,19,19,18,1,lulus_tepat_waktu
58,S1,2,3.019,3.071,23,42,40,2,lulus_tepat_waktu
58,S1,3,3.465,3.207,22,64,61,3,lulus_tepat_waktu
58,S1,4,3.704,3.342,24,88,85,3,lulus_tepat_waktu
58,S1,5,3.381,3.35,21,109,105,4,lulus_tepat_waktu
58,S1,6,3.09,3.303,24,133,128,5,lulus_tepat_waktu
58,S1,7,3.379,3.313,21,154,149,5,lulus_tepat_waktu
59,S2,1,3.675,3.675,11,11,11,0,lulus_tepat_waktu
59,S2,2,3.593,3.638,9,20,20,0,lulus_tepat_waktu
59,S2,3,3.651,3.643,14,34,34,0,lulus_tepat_waktu
59,S2,4,3.482,3.601,12,46,46,0,lulus_tepat_waktu
60,S1,1,2.305,2.305,22,22,18,4,lulus_terlambat
60,S1,2,1.969,2.168,15,37,28,9,lulus_terlambat
60,S1,3,2.519,2.279,17,54,43,11,lulus_terlambat
60,S1,4,2.295,2.283,19,73,59,14,lulus_terlambat
60,S1,5,2.49,2.324,18,91,75,16,lulus_terlambat
60,S1,6,2.836,2.4,16,107,90,17,lulus_terlambat
60,S1,7,2.764,2.453,18,125,106,19,lulus_terlambat
60,S1,8,2.533,2.463,19,144,124,20,lulus_terlambat
